first_x,pixels_per_week,boss_gt5px,boss_segments,field_gt5px,field_segments,azmoth_gt5px,azmoth_segments,other_coin_gt5px,other_coin_segments,boss_field_gt5px
1085,7.6699999999999955,30,116,6,116,0,22,16,56,36
1085,7.674999999999995,28,116,5,116,0,22,15,56,33
1085,7.679999999999995,26,116,6,116,0,22,14,56,32
1085,7.684999999999995,25,116,6,116,0,22,13,56,31
1085,7.689999999999995,25,116,6,116,0,22,13,56,31
1085,7.694999999999995,27,116,5,116,0,22,13,56,32
1085,7.699999999999995,28,116,5,116,0,22,13,56,33
1085,7.704999999999995,28,116,5,116,0,22,12,56,33
1085,7.709999999999995,27,114,5,116,0,22,12,56,32
1085,7.7149999999999945,26,114,5,116,0,22,12,55,31
1085,7.719999999999994,24,112,6,114,0,21,12,54,30
1085,7.724999999999994,26,112,6,114,0,21,12,54,32
1085,7.729999999999994,25,112,7,114,0,21,12,54,32
1085,7.734999999999994,23,112,6,114,0,21,12,54,29
1085,7.739999999999994,22,112,6,114,0,21,12,54,28
1085,7.744999999999994,22,112,5,114,0,21,12,54,27
1085,7.749999999999994,21,111,5,114,0,21,12,54,26
1086,7.45,28,117,8,119,1,22,14,57,36
1086,7.455,30,117,8,119,1,22,13,57,38
1086,7.46,27,117,9,119,1,22,13,57,36
1086,7.465,25,117,7,119,1,22,13,57,32
1086,7.47,25,117,7,119,1,22,13,57,32
1086,7.475,24,117,7,119,1,22,13,57,31
1086,7.4799999999999995,24,117,7,119,1,22,13,57,31
1086,7.484999999999999,25,116,7,118,1,22,13,57,32
1086,7.489999999999999,25,116,6,118,1,22,13,57,31
1086,7.494999999999999,26,116,6,118,1,22,13,57,32
1086,7.499999999999999,22,116,6,118,0,22,12,57,28
1086,7.504999999999999,23,118,5,118,0,22,11,57,28
1086,7.509999999999999,23,116,5,118,0,22,11,57,28
1086,7.514999999999999,24,116,5,118,0,22,11,56,29
1086,7.519999999999999,24,116,5,118,0,22,11,56,29
1086,7.524999999999999,22,116,6,118,0,22,11,56,28
1086,7.5299999999999985,23,116,6,118,0,22,11,56,29
1086,7.534999999999998,22,116,5,118,0,22,12,56,27
1086,7.539999999999998,22,116,4,118,0,22,12,56,26
1086,7.544999999999998,22,116,4,118,0,22,13,56,26
1086,7.549999999999998,23,118,4,118,0,22,15,56,27
1086,7.554999999999998,24,118,5,118,0,22,15,56,29
1086,7.559999999999998,24,118,5,118,0,22,15,56,29
1086,7.564999999999998,23,117,5,117,0,22,15,56,28
1086,7.569999999999998,22,117,6,117,0,22,15,56,28
1086,7.5749999999999975,22,117,5,117,0,22,14,56,27
1086,7.579999999999997,25,117,5,117,0,22,15,56,30
1086,7.584999999999997,25,116,6,117,0,22,15,56,31
1086,7.589999999999997,24,116,7,117,0,22,16,56,31
1086,7.594999999999997,28,116,9,117,0,22,14,56,37
1086,7.599999999999997,28,116,10,117,0,22,15,56,38
1086,7.604999999999997,29,116,10,117,0,22,15,56,39
1086,7.609999999999997,29,116,9,117,0,22,14,56,38
1086,7.614999999999997,32,114,9,117,0,22,14,56,41
1086,7.6199999999999966,32,114,9,117,0,22,14,56,41
1086,7.6249999999999964,32,114,10,117,0,22,14,56,42
1086,7.629999999999996,34,114,9,117,0,22,13,56,43
1086,7.634999999999996,34,114,8,117,0,22,11,56,42
1086,7.639999999999996,34,114,7,117,0,22,11,56,41
1086,7.644999999999996,33,114,6,116,0,22,11,56,39
1086,7.649999999999996,33,114,5,116,0,22,11,56,38
1086,7.654999999999996,33,116,5,116,0,22,12,56,38
1086,7.659999999999996,33,116,4,116,0,22,12,56,37
1086,7.664999999999996,32,116,3,116,0,22,12,56,35
1086,7.6699999999999955,31,116,3,116,0,22,12,56,34
1086,7.674999999999995,28,115,4,115,0,21,12,55,32
1086,7.679999999999995,27,115,4,115,0,21,12,55,31
1086,7.684999999999995,26,115,5,115,0,21,12,55,31
1086,7.689999999999995,25,115,4,115,0,21,12,55,29
1086,7.694999999999995,24,115,4,115,0,21,10,55,28
1086,7.699999999999995,24,115,3,115,0,21,10,55,27
1086,7.704999999999995,24,115,5,115,0,21,10,55,29
1086,7.709999999999995,23,115,4,115,0,21,10,55,27
1086,7.7149999999999945,24,115,4,115,0,21,11,55,28
1086,7.719999999999994,25,115,4,115,0,21,11,55,29
1086,7.724999999999994,25,113,5,115,0,21,11,55,30
1086,7.729999999999994,24,112,5,114,0,21,12,55,29
1086,7.734999999999994,24,112,6,114,0,21,12,55,30
1086,7.739999999999994,25,112,6,114,0,21,12,55,31
1086,7.744999999999994,26,112,6,114,0,21,12,54,32
1086,7.749999999999994,26,112,6,114,1,21,11,54,32
1087,7.45,22,116,7,119,1,23,11,57,29
1087,7.455,22,116,6,119,1,23,11,57,28
1087,7.46,23,118,6,119,1,23,13,57,29
1087,7.465,22,118,7,119,1,23,13,57,29
1087,7.47,23,118,6,119,1,23,14,57,29
1087,7.475,23,118,7,119,1,23,14,57,30
1087,7.4799999999999995,25,118,6,119,1,23,14,57,31
1087,7.484999999999999,24,118,7,119,1,23,13,57,31
1087,7.489999999999999,21,118,6,119,1,23,13,57,27
1087,7.494999999999999,21,117,6,118,1,23,13,57,27
1087,7.499999999999999,25,118,6,118,1,23,12,57,31
1087,7.504999999999999,25,118,6,118,0,23,13,57,31
1087,7.509999999999999,26,118,6,118,0,23,13,57,32
1087,7.514999999999999,26,118,5,118,0,23,13,57,31
1087,7.519999999999999,25,118,5,118,0,23,13,57,30
1087,7.524999999999999,23,116,5,118,0,23,12,57,28
1087,7.5299999999999985,24,116,6,118,0,23,12,57,30
1087,7.534999999999998,24,116,6,118,0,23,11,57,30
1087,7.539999999999998,23,116,5,118,0,23,11,57,28
1087,7.544999999999998,22,116,5,118,0,23,12,56,27
1087,7.549999999999998,20,116,6,118,0,23,13,56,26
1087,7.554999999999998,19,116,5,118,0,23,13,56,24
1087,7.559999999999998,20,116,4,118,0,23,13,56,24
1087,7.564999999999998,19,118,4,118,0,23,13,56,23
1087,7.569999999999998,20,118,4,118,0,23,12,56,24
1087,7.5749999999999975,19,117,5,117,0,23,12,56,24
1087,7.579999999999997,19,117,5,117,0,23,11,56,24
1087,7.584999999999997,21,116,5,117,0,23,11,56,26
1087,7.589999999999997,20,116,5,117,0,23,10,56,25
1087,7.594999999999997,19,116,5,117,0,23,10,56,24
1087,7.599999999999997,20,116,5,117,0,23,10,56,25
1087,7.604999999999997,20,116,5,117,0,23,10,56,25
1087,7.609999999999997,20,116,6,117,0,23,11,56,26
1087,7.614999999999997,19,116,6,117,0,23,11,56,25
1087,7.6199999999999966,22,116,8,117,0,23,11,56,30
1087,7.6249999999999964,22,116,7,117,0,23,11,56,29
1087,7.629999999999996,22,114,7,117,0,23,11,56,29
1087,7.634999999999996,23,113,7,116,0,22,11,55,30
1087,7.639999999999996,24,113,8,116,0,22,10,55,32
1087,7.644999999999996,25,114,8,116,0,22,9,55,33
1087,7.649999999999996,25,114,8,116,0,22,8,55,33
1087,7.654999999999996,28,113,8,115,0,22,8,55,36
1087,7.659999999999996,28,113,7,115,0,22,9,55,35
1087,7.664999999999996,28,113,7,115,0,22,9,55,35
1087,7.6699999999999955,28,115,7,115,0,22,9,55,35
1087,7.674999999999995,28,115,5,115,0,22,9,55,33
1087,7.679999999999995,30,115,6,115,0,22,10,55,36
1087,7.684999999999995,30,115,6,115,0,22,11,55,36
1087,7.689999999999995,30,115,5,115,0,22,11,55,35
1087,7.694999999999995,27,115,5,115,0,22,11,55,32
1087,7.699999999999995,26,115,5,115,0,22,11,55,31
1087,7.704999999999995,25,115,5,115,0,22,12,55,30
1087,7.709999999999995,24,115,5,115,0,22,12,55,29
1087,7.7149999999999945,22,115,4,115,0,22,12,55,26
1087,7.719999999999994,23,115,4,115,0,22,12,55,27
1087,7.724999999999994,23,115,4,115,0,22,11,55,27
1087,7.729999999999994,23,115,5,115,0,22,10,55,28
1087,7.734999999999994,24,115,3,115,0,22,10,55,27
1087,7.739999999999994,23,112,4,114,0,22,10,55,27
1087,7.744999999999994,22,112,4,114,0,22,10,55,26
1087,7.749999999999994,23,111,5,114,0,22,9,55,28
1088,7.45,21,116,5,119,0,23,11,57,26
1088,7.455,21,116,5,119,0,23,12,57,26
1088,7.46,21,116,4,119,0,23,12,57,25
1088,7.465,21,116,4,119,0,23,12,57,25
1088,7.47,22,116,6,119,0,23,11,57,28
1088,7.475,23,118,7,119,0,23,10,57,30
1088,7.4799999999999995,23,118,7,119,0,23,10,57,30
1088,7.484999999999999,23,118,7,119,0,23,10,57,30
1088,7.489999999999999,23,118,8,119,0,23,11,57,31
1088,7.494999999999999,23,118,7,119,0,23,11,57,30
1088,7.499999999999999,24,118,6,119,0,23,12,57,30
1088,7.504999999999999,25,119,7,119,0,23,12,57,32
1088,7.509999999999999,25,118,7,118,0,23,12,57,32
1088,7.514999999999999,22,118,6,118,0,23,12,57,28
1088,7.519999999999999,22,118,7,118,0,23,11,57,29
1088,7.524999999999999,24,118,7,118,0,23,11,57,31
1088,7.5299999999999985,25,118,6,118,0,23,10,57,31
1088,7.534999999999998,25,116,5,118,0,23,10,57,30
1088,7.539999999999998,23,116,5,118,0,23,10,57,28
1088,7.544999999999998,22,116,5,118,0,23,9,57,27
1088,7.549999999999998,21,116,5,118,0,23,8,57,26
1088,7.554999999999998,19,116,5,118,0,23,8,57,24
1088,7.559999999999998,18,116,5,118,0,23,8,57,23
1088,7.564999999999998,18,116,3,118,0,23,8,57,21
1088,7.569999999999998,17,116,4,118,0,23,8,57,21
1088,7.5749999999999975,16,116,3,118,0,23,8,56,19
1088,7.579999999999997,18,118,2,118,0,23,8,56,20
1088,7.584999999999997,20,116,2,117,0,23,7,56,22
1088,7.589999999999997,19,115,3,116,0,22,7,55,22
1088,7.594999999999997,17,115,3,116,0,22,7,55,20
1088,7.599999999999997,16,115,4,116,0,22,7,55,20
1088,7.604999999999997,16,115,3,116,0,22,7,55,19
1088,7.609999999999997,16,115,3,116,0,22,8,55,19
1088,7.614999999999997,16,115,3,116,0,22,8,55,19
1088,7.6199999999999966,16,115,3,116,0,22,8,55,19
1088,7.6249999999999964,17,115,3,116,0,22,8,55,20
1088,7.629999999999996,18,115,5,116,0,22,9,55,23
1088,7.634999999999996,17,115,5,116,0,22,10,55,22
1088,7.639999999999996,18,115,6,116,0,22,10,55,24
1088,7.644999999999996,19,114,7,116,0,22,11,55,26
1088,7.649999999999996,19,114,7,116,0,22,11,55,26
1088,7.654999999999996,21,114,7,116,0,22,11,55,28
1088,7.659999999999996,24,114,6,116,0,22,11,55,30
1088,7.664999999999996,24,113,6,115,0,22,11,55,30
1088,7.6699999999999955,24,113,6,115,0,22,11,55,30
1088,7.674999999999995,25,113,6,115,0,22,9,55,31
1088,7.679999999999995,26,113,7,115,0,22,8,55,33
1088,7.684999999999995,28,115,7,115,0,22,8,55,35
1088,7.689999999999995,27,115,7,115,0,22,7,55,34
1088,7.694999999999995,28,115,6,115,0,22,7,55,34
1088,7.699999999999995,26,115,6,115,0,22,8,55,32
1088,7.704999999999995,23,115,7,115,0,22,9,55,30
1088,7.709999999999995,24,115,7,115,0,22,9,55,31
1088,7.7149999999999945,24,115,6,115,0,22,10,55,30
1088,7.719999999999994,24,115,5,115,0,22,10,55,29
1088,7.724999999999994,24,115,5,115,0,22,10,55,29
1088,7.729999999999994,24,115,6,115,0,22,10,55,30
1088,7.734999999999994,23,115,6,115,0,22,10,55,29
1088,7.739999999999994,21,115,6,115,0,22,10,55,27
1088,7.744999999999994,20,115,6,115,0,22,10,55,26
1088,7.749999999999994,20,114,6,114,0,22,10,55,26
1089,7.45,23,116,5,119,0,23,10,57,28
1089,7.455,24,116,6,119,0,23,11,57,30
1089,7.46,23,116,6,119,0,23,12,57,29
1089,7.465,23,116,5,119,0,23,12,57,28
1089,7.47,22,116,5,119,0,23,11,57,27
1089,7.475,24,116,4,119,0,23,11,57,28
1089,7.4799999999999995,26,116,4,119,0,23,10,57,30
1089,7.484999999999999,25,116,4,119,0,23,10,57,29
1089,7.489999999999999,27,118,6,119,0,23,10,57,33
1089,7.494999999999999,27,118,7,119,0,23,10,57,34
1089,7.499999999999999,25,119,7,119,0,23,8,57,32
1089,7.504999999999999,21,119,7,119,0,23,9,57,28
1089,7.509999999999999,21,119,6,119,0,23,9,57,27
1089,7.514999999999999,22,119,6,119,0,23,10,57,28
1089,7.519999999999999,22,118,6,118,0,23,10,57,28
1089,7.524999999999999,23,118,6,118,0,23,10,57,29
1089,7.5299999999999985,24,118,6,118,0,23,9,57,30
1089,7.534999999999998,23,118,5,118,0,23,9,57,28
1089,7.539999999999998,24,118,4,118,0,23,9,57,28
1089,7.544999999999998,23,117,4,117,0,22,9,56,27
1089,7.549999999999998,23,115,4,117,0,22,8,56,27
1089,7.554999999999998,19,115,4,117,0,22,9,56,23
1089,7.559999999999998,19,115,4,117,0,22,9,56,23
1089,7.564999999999998,20,115,4,117,0,22,8,56,24
1089,7.569999999999998,17,115,4,117,0,22,9,56,21
1089,7.5749999999999975,17,115,4,117,0,22,9,56,21
1089,7.579999999999997,17,115,3,117,0,22,10,56,20
1089,7.584999999999997,15,113,4,117,0,22,10,56,19
1089,7.589999999999997,15,113,4,117,0,22,10,56,19
1089,7.594999999999997,16,114,5,116,0,22,10,56,21
1089,7.599999999999997,15,114,5,116,0,22,10,56,20
1089,7.604999999999997,15,114,5,116,0,22,10,55,20
1089,7.609999999999997,13,114,5,116,0,22,9,55,18
1089,7.614999999999997,14,114,5,116,0,22,9,55,19
1089,7.6199999999999966,14,114,5,116,0,22,9,55,19
1089,7.6249999999999964,13,114,5,116,0,22,8,55,18
1089,7.629999999999996,13,114,5,116,0,22,8,55,18
1089,7.634999999999996,13,114,5,116,0,22,9,55,18
1089,7.639999999999996,12,114,5,116,0,22,9,55,17
1089,7.644999999999996,12,114,6,116,0,22,9,55,18
1089,7.649999999999996,11,114,7,116,0,22,9,55,18
1089,7.654999999999996,12,112,7,116,0,22,9,55,19
1089,7.659999999999996,9,112,7,116,0,22,9,55,16
1089,7.664999999999996,10,112,10,116,0,22,9,55,20
1089,7.6699999999999955,12,112,10,116,0,22,9,55,22
1089,7.674999999999995,13,112,10,116,0,22,10,55,23
1089,7.679999999999995,15,111,9,115,0,22,10,55,24
1089,7.684999999999995,17,111,9,115,0,22,10,55,26
1089,7.689999999999995,18,111,8,115,0,22,11,55,26
1089,7.694999999999995,17,111,8,115,0,22,11,55,25
1089,7.699999999999995,17,113,8,115,0,22,11,55,25
1089,7.704999999999995,23,113,8,115,0,22,10,55,31
1089,7.709999999999995,23,113,8,115,0,22,10,55,31
1089,7.7149999999999945,23,113,8,115,0,22,10,55,31
1089,7.719999999999994,21,113,9,115,0,22,10,55,30
1089,7.724999999999994,22,113,9,115,0,22,10,55,31
1089,7.729999999999994,22,113,9,115,0,22,10,55,31
1089,7.734999999999994,23,113,9,115,0,22,10,55,32
1089,7.739999999999994,23,113,9,115,0,22,10,55,32
1089,7.744999999999994,23,113,8,115,0,22,11,55,31
1089,7.749999999999994,23,113,7,115,0,22,10,55,30
