date,new_w,V3_w,interpretation
2024-08-22,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-07-31,0.6824638156565654,0.46013215854898554,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-08-07,0.71901748219433,0.40271190415048563,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-08-14,0.737509913647609,0.39491988143664847,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-08-21,0.7950759805045411,0.4358138770885681,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-08-28,0.7988467891006662,0.5463883180727739,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-09-04,0.8202421445269734,0.5356519623965291,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-09-11,0.8105553036763437,0.48283628510880655,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-09-18,0.8428617120084345,0.4258911940064936,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-09-25,0.7736640806115639,0.5335132691291277,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-10-02,0.7205010504418217,0.47613869537225395,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-10-09,0.7303499378315621,0.48283515394314414,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-10-16,0.62644631161483,0.4766666893719723,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-10-23,0.3506538207486646,0.4063726964148537,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-10-30,0.2532240435705982,0.40142219959302544,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-11-06,0.22412509427035054,0.41999566843354524,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-11-13,0.2276564646859826,0.41622961787657065,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-11-20,,0.4632673687914641,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-11-27,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-12-04,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-12-11,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-12-18,,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-12-25,0.12034405440487095,0.005133738459142226,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-01-01,0.12247632345370847,0.16930104308703406,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-01-08,0.1268933523178197,0.14802908426322328,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-01-15,0.12159262885403689,0.2596169785732564,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-01-22,0.10879552021260963,0.3443007171031286,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-01-29,0.09789685349820756,0.5121096723498196,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-02-05,0.08583945073586095,0.5119427572378552,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-02-12,0.08470221595249751,0.4952879783103267,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-02-19,0.07680709085098571,0.5668698337676112,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-02-26,0.06893556208245381,0.8386695009360116,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-03-05,0.05507894578026033,0.6885887980648607,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-03-12,0.0770966709992097,0.6559868388435429,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-03-19,0.15364871333415597,0.6470535062536963,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-03-26,0.17677511101453455,0.616356066433615,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-04-02,0.17682775769241926,0.7050270985815998,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-04-09,0.2068078332854676,0.7107600412549356,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-04-16,,0.7079400508325628,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-04-23,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-04-30,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-05-07,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-05-14,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-05-21,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-05-28,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-06-04,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-06-11,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-06-18,,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-06-25,0.3003878043695462,0.15360277426864663,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-07-02,0.34851708723889285,0.17785232552181326,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-07-09,0.39178423062795364,0.18450330733557088,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-07-16,0.43621311018478387,0.22852773716848238,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-07-23,0.45870327680409834,0.3426757612353334,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-07-30,0.4775853733800892,0.6814238532244128,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-08-06,0.49945586695309796,0.5021935819428676,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-08-13,0.5192861580004614,0.5103721282455296,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2026-08-20,0.556764564375595,0.6136908943622003,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
