boss,before_meso,after_meso,source_url
감시자 칼로스 (이지),311000000,280000000,https://maplestory.nexon.com/news/update/806
최초의 대적자 (이지),324000000,308000000,https://maplestory.nexon.com/news/update/806
선택받은 세렌 (하드),396000000,356000000,https://maplestory.nexon.com/news/update/806
카링 (이지),419000000,377000000,https://maplestory.nexon.com/news/update/806
감시자 칼로스 (노멀),561000000,505000000,https://maplestory.nexon.com/news/update/806
최초의 대적자 (노멀),589000000,560000000,https://maplestory.nexon.com/news/update/806
스우 (익스트림),604000000,574000000,https://maplestory.nexon.com/news/update/806
찬란한 흉성 (노멀),658000000,625000000,https://maplestory.nexon.com/news/update/806
카링 (노멀),714000000,678000000,https://maplestory.nexon.com/news/update/806
림보 (노멀),1080000000,1026000000,https://maplestory.nexon.com/news/update/806
감시자 칼로스 (카오스),1340000000,1273000000,https://maplestory.nexon.com/news/update/806
발드릭스 (노멀),1440000000,1368000000,https://maplestory.nexon.com/news/update/806
최초의 대적자 (하드),1510000000,1435000000,https://maplestory.nexon.com/news/update/806
유피테르 (노멀),1700000000,1615000000,https://maplestory.nexon.com/news/update/806
카링 (하드),1830000000,1739000000,https://maplestory.nexon.com/news/update/806
림보 (하드),2510000000,2385000000,https://maplestory.nexon.com/news/update/806
찬란한 흉성 (하드),2819000000,2678000000,https://maplestory.nexon.com/news/update/806
선택받은 세렌 (익스트림),3150000000,2835000000,https://maplestory.nexon.com/news/update/806
발드릭스 (하드),3240000000,3078000000,https://maplestory.nexon.com/news/update/806
감시자 칼로스 (익스트림),4320000000,4104000000,https://maplestory.nexon.com/news/update/806
최초의 대적자 (익스트림),4960000000,4712000000,https://maplestory.nexon.com/news/update/806
유피테르 (하드),5100000000,4845000000,https://maplestory.nexon.com/news/update/806
카링 (익스트림),5670000000,5387000000,https://maplestory.nexon.com/news/update/806
검은 마법사 (하드),700000000,665000000,https://maplestory.nexon.com/news/update/806
검은 마법사 (익스트림),9200000000,8740000000,https://maplestory.nexon.com/news/update/806
